Zip,Market,City/Town,State
28902,Atlanta,CLAY,NC
28904,Atlanta,CLAY,NC
28909,Atlanta,CLAY,NC
30002,Atlanta,DEKALB,GA
30003,Atlanta,GWINNETT,GA
30004,Atlanta,CHEROKEE,GA
30004,Atlanta,FORSYTH,GA
30004,Atlanta,FULTON,GA
30005,Atlanta,FORSYTH,GA
30005,Atlanta,FULTON,GA
30006,Atlanta,COBB,GA
30007,Atlanta,COBB,GA
30008,Atlanta,COBB,GA
30009,Atlanta,FULTON,GA
30010,Atlanta,GWINNETT,GA
30011,Atlanta,BARROW,GA
30011,Atlanta,GWINNETT,GA
30012,Atlanta,DEKALB,GA
30012,Atlanta,GWINNETT,GA
30012,Atlanta,ROCKDALE,GA
30012,Atlanta,WALTON,GA
30013,Atlanta,NEWTON,GA
30013,Atlanta,ROCKDALE,GA
30014,Atlanta,JASPER,GA
30014,Atlanta,NEWTON,GA
30014,Atlanta,WALTON,GA
30015,Atlanta,NEWTON,GA
30016,Atlanta,NEWTON,GA
30016,Atlanta,ROCKDALE,GA
30017,Atlanta,GWINNETT,GA
30018,Atlanta,WALTON,GA
30019,Atlanta,GWINNETT,GA
30019,Atlanta,WALTON,GA
30021,Atlanta,DEKALB,GA
30022,Atlanta,FULTON,GA
30023,Atlanta,FULTON,GA
30024,Atlanta,FORSYTH,GA
30024,Atlanta,FULTON,GA
30024,Atlanta,GWINNETT,GA
30025,Atlanta,MORGAN,GA
30025,Atlanta,NEWTON,GA
30025,Atlanta,WALTON,GA
30026,Atlanta,GWINNETT,GA
30028,Atlanta,CHEROKEE,GA
30028,Atlanta,FORSYTH,GA
30029,Atlanta,GWINNETT,GA
30030,Atlanta,DEKALB,GA
30031,Atlanta,DEKALB,GA
30032,Atlanta,DEKALB,GA
30033,Atlanta,DEKALB,GA
30034,Atlanta,DEKALB,GA
30035,Atlanta,DEKALB,GA
30036,Atlanta,DEKALB,GA
30037,Atlanta,DEKALB,GA
30038,Atlanta,DEKALB,GA
30039,Atlanta,DEKALB,GA
30039,Atlanta,GWINNETT,GA
30039,Atlanta,ROCKDALE,GA
30040,Atlanta,CHEROKEE,GA
30040,Atlanta,FORSYTH,GA
30041,Atlanta,FORSYTH,GA
30042,Atlanta,GWINNETT,GA
30043,Atlanta,GWINNETT,GA
30044,Atlanta,GWINNETT,GA
30045,Atlanta,GWINNETT,GA
30046,Atlanta,GWINNETT,GA
30047,Atlanta,GWINNETT,GA
30048,Atlanta,GWINNETT,GA
30049,Atlanta,GWINNETT,GA
30052,Atlanta,GWINNETT,GA
30052,Atlanta,NEWTON,GA
30052,Atlanta,ROCKDALE,GA
30052,Atlanta,WALTON,GA
30054,Atlanta,NEWTON,GA
30054,Atlanta,WALTON,GA
30055,Atlanta,JASPER,GA
30055,Atlanta,MORGAN,GA
30055,Atlanta,NEWTON,GA
30056,Atlanta,JASPER,GA
30056,Atlanta,MORGAN,GA
30056,Atlanta,NEWTON,GA
30058,Atlanta,DEKALB,GA
30058,Atlanta,ROCKDALE,GA
30060,Atlanta,COBB,GA
30061,Atlanta,COBB,GA
30062,Atlanta,COBB,GA
30063,Atlanta,COBB,GA
30064,Atlanta,COBB,GA
30065,Atlanta,COBB,GA
30066,Atlanta,COBB,GA
30067,Atlanta,COBB,GA
30068,Atlanta,COBB,GA
30069,Atlanta,COBB,GA
30070,Atlanta,NEWTON,GA
30071,Atlanta,GWINNETT,GA
30072,Atlanta,DEKALB,GA
30074,Atlanta,DEKALB,GA
30075,Atlanta,CHEROKEE,GA
30075,Atlanta,COBB,GA
30075,Atlanta,FULTON,GA
30076,Atlanta,FULTON,GA
30077,Atlanta,FULTON,GA
30078,Atlanta,GWINNETT,GA
30079,Atlanta,DEKALB,GA
30080,Atlanta,COBB,GA
30081,Atlanta,COBB,GA
30082,Atlanta,COBB,GA
30083,Atlanta,DEKALB,GA
30084,Atlanta,DEKALB,GA
30084,Atlanta,GWINNETT,GA
30085,Atlanta,DEKALB,GA
30086,Atlanta,DEKALB,GA
30087,Atlanta,DEKALB,GA
30087,Atlanta,GWINNETT,GA
30088,Atlanta,DEKALB,GA
30090,Atlanta,COBB,GA
30091,Atlanta,GWINNETT,GA
30092,Atlanta,FULTON,GA
30092,Atlanta,GWINNETT,GA
30093,Atlanta,GWINNETT,GA
30094,Atlanta,DEKALB,GA
30094,Atlanta,ROCKDALE,GA
30095,Atlanta,GWINNETT,GA
30096,Atlanta,GWINNETT,GA
30097,Atlanta,FORSYTH,GA
30097,Atlanta,FULTON,GA
30097,Atlanta,GWINNETT,GA
30098,Atlanta,FULTON,GA
30099,Atlanta,GWINNETT,GA
30101,Atlanta,BARTOW,GA
30101,Atlanta,CHEROKEE,GA
30101,Atlanta,COBB,GA
30101,Atlanta,PAULDING,GA
30102,Atlanta,BARTOW,GA
30102,Atlanta,CHEROKEE,GA
30102,Atlanta,COBB,GA
30103,Atlanta,BARTOW,GA
30103,Atlanta,FLOYD,GA
30103,Atlanta,GORDON,GA
30104,Atlanta,BARTOW,GA
30104,Atlanta,FLOYD,GA
30104,Atlanta,POLK,GA
30105,Atlanta,CHATTOOGA,GA
30105,Atlanta,FLOYD,GA
30106,Atlanta,COBB,GA
30106,Atlanta,DOUGLAS,GA
30107,Atlanta,CHEROKEE,GA
30107,Atlanta,FORSYTH,GA
30107,Atlanta,PICKENS,GA
30108,Atlanta,CARROLL,GA
30108,Atlanta,HEARD,GA
30109,Atlanta,CARROLL,GA
30110,Atlanta,CARROLL,GA
30110,Atlanta,HARALSON,GA
30111,Atlanta,COBB,GA
30112,Atlanta,CARROLL,GA
30113,Atlanta,HARALSON,GA
30113,Atlanta,POLK,GA
30114,Atlanta,CHEROKEE,GA
30115,Atlanta,CHEROKEE,GA
30116,Atlanta,CARROLL,GA
30116,Atlanta,HEARD,GA
30117,Atlanta,CARROLL,GA
30118,Atlanta,CARROLL,GA
30119,Atlanta,CARROLL,GA
30120,Atlanta,BARTOW,GA
30120,Atlanta,PAULDING,GA
30121,Atlanta,BARTOW,GA
30122,Atlanta,DOUGLAS,GA
30123,Atlanta,BARTOW,GA
30124,Atlanta,FLOYD,GA
30124,Atlanta,POLK,GA
30125,Atlanta,FLOYD,GA
30125,Atlanta,HARALSON,GA
30125,Atlanta,POLK,GA
30126,Atlanta,COBB,GA
30127,Atlanta,COBB,GA
30127,Atlanta,DOUGLAS,GA
30127,Atlanta,PAULDING,GA
30129,Atlanta,FLOYD,GA
30132,Atlanta,PAULDING,GA
30133,Atlanta,DOUGLAS,GA
30134,Atlanta,DOUGLAS,GA
30134,Atlanta,PAULDING,GA
30135,Atlanta,DOUGLAS,GA
30137,Atlanta,BARTOW,GA
30138,Atlanta,POLK,GA
30139,Atlanta,BARTOW,GA
30139,Atlanta,GORDON,GA
30139,Atlanta,PICKENS,GA
30140,Atlanta,HARALSON,GA
30141,Atlanta,COBB,GA
30141,Atlanta,PAULDING,GA
30142,Atlanta,CHEROKEE,GA
30143,Atlanta,CHEROKEE,GA
30143,Atlanta,DAWSON,GA
30143,Atlanta,PICKENS,GA
30144,Atlanta,COBB,GA
30145,Atlanta,BARTOW,GA
30145,Atlanta,FLOYD,GA
30146,Atlanta,CHEROKEE,GA
30147,Atlanta,FLOYD,GA
30147,Atlanta,POLK,GA
30148,Atlanta,DAWSON,GA
30148,Atlanta,PICKENS,GA
30149,Atlanta,FLOYD,GA
30150,Atlanta,CARROLL,GA
30151,Atlanta,CHEROKEE,GA
30152,Atlanta,COBB,GA
30153,Atlanta,HARALSON,GA
30153,Atlanta,PAULDING,GA
30153,Atlanta,POLK,GA
30154,Atlanta,DOUGLAS,GA
30156,Atlanta,COBB,GA
30157,Atlanta,COBB,GA
30157,Atlanta,PAULDING,GA
30160,Atlanta,COBB,GA
30161,Atlanta,BARTOW,GA
30161,Atlanta,FLOYD,GA
30162,Atlanta,FLOYD,GA
30164,Atlanta,FLOYD,GA
30165,Atlanta,FLOYD,GA
30168,Atlanta,COBB,GA
30168,Atlanta,DOUGLAS,GA
30169,Atlanta,CHEROKEE,GA
30170,Atlanta,CARROLL,GA
30170,Atlanta,HEARD,GA
30171,Atlanta,BARTOW,GA
30171,Atlanta,CHEROKEE,GA
30171,Atlanta,GORDON,GA
30172,Atlanta,FLOYD,GA
30173,Atlanta,FLOYD,GA
30173,Atlanta,POLK,GA
30175,Atlanta,GILMER,GA
30175,Atlanta,PICKENS,GA
30176,Atlanta,HARALSON,GA
30177,Atlanta,PICKENS,GA
30178,Atlanta,BARTOW,GA
30178,Atlanta,PAULDING,GA
30178,Atlanta,POLK,GA
30179,Atlanta,CARROLL,GA
30179,Atlanta,HARALSON,GA
30179,Atlanta,PAULDING,GA
30180,Atlanta,CARROLL,GA
30180,Atlanta,DOUGLAS,GA
30180,Atlanta,PAULDING,GA
30182,Atlanta,CARROLL,GA
30182,Atlanta,HARALSON,GA
30183,Atlanta,BARTOW,GA
30183,Atlanta,CHEROKEE,GA
30183,Atlanta,PICKENS,GA
30184,Atlanta,BARTOW,GA
30184,Atlanta,CHEROKEE,GA
30185,Atlanta,CARROLL,GA
