url,Community Name,Street Address,City,State,Zip Code,County,School District,Latitude,Longitude,Phone number,Model hours,Website,"Status (Active, Upcoming, Sold Out)",Builder,Avg Lot Size,Community - Open Date,Community - Closed Date,Total Lots,Total Lots Sold,Total Lots - Total Sold,# of Sales per month,HOA Fee,HOA Services,Other Fees (i.e. CDD),Incentive %,Incentive $,Incentive Type,Amenities Available,Exterior Specifications Available,Interior Specifications Available,QMI Model Name,Model Name,# of Garages,QMI # of Garages,# of BR,# of BA,# of 1/2 BA,QMI # of BR,QMI # of BA,QMI # of 1/2 BA,QMI Model # of Floor,Foundation Type,# of Floors,Product Type,QMI Model SQFT,Minimum SQFT,Maximum SQFT,QMI Model Price,Minimum Base Price (Current),Maximum Price,QMI Availability Date,QMI Lot SQFT,QMI Incentive %,QMI Incentive $,QMI Incentive Type,QMI Interior/Exterior Attributes,Plan Features,Interior Specifications Descriptions,Overall Description of the Community,Plan Description,Attributes/Features,First Floor Master (Y/N),Plan Garage Entry (Front load),Garages (Y/N),Adult Community (Y/N),Previous Price,Last Updated
https://www.epconcommunities.com/find-your-home/communities/wisconsin/appleton--green-bay/winnebago/menasha/woodland-lakes-cottages/quick-move-in-homes/907-black-swan-drive-251,Woodland Lakes Cottages,"907 Black Swan Drive, Menasha, WI 54952",Menasha,WI,54952,Winnebago County,,44.2131,-88.3749,920-520-2197,Mon-Fri: 10am-4pm | Sat-Sun: 10am-4pm,https://www.epconcommunities.com,contract_pending,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Capri II,Capri II,3,3,2,2,0,2,2,0,1,,1,SFD,1615,1615,,599900,599900,,2025-12-30,,,,,Courtyard: rear | Attachment: attached | Garage detached: no | Dining areas: 1 | Bonus suite: N | HERS: 0,,,"Woodland Lakes Cottages in perfectly located for your active adult lifestyle in Wisconsin. We are close to everything you may want to experience in this beautiful state. You will feel like you are on a permanent vacation yet so close to your lock and leave maintenance free home. Still maybe close by extended family and friends in possibly Milwaukee, Chicago and Madison and points beyond. Downtown Menasha-5 minutes Downtown Appleton-7 minutes Downtown Neenah 7 minutes Oshkosh area-15 minutes Green Bay area-20 minutes We are in the center of a inland water wonderland where fishing and every type of boating and water sports imaginable is available Lake Winnebago-1 minute away Fox River system-10 minutes away Wolf River system-15 minutes away Lake Michigan-45 minutes Lake Butte des Morts-15 minutes Lake Poygan-30 minutes You want spectator sports...we got it ! The Green Bay Packers and Lambeau Field…..it doesn't get better Milwaukee Bucks Wisconsin Timber Rattlers Wisconsin Badgers Music and Culture…we are on it ! Appleton Performing Arts Center Oshkosh Grand Theatre Want to get away quickly……….we have multiple airports close by Appleton Intl Airport-10 minutes away (all major airlines) Green Bay Intl Airport-30 minutes away (all major airlines) Milwaukee Mitchell Intl-1.5 hours (all major airlines) Chicago O'Hare=2.5 hours Right on your own Woodland Lakes property ! Clubhouse to mingle and entertain Resort style swimming pool Pickle ball courts Sailing Kayaking Canoeing Lake Beach Hiking Community Garden LET WOODLAND LAKES COTTAGES BE YOUR UP NORTH GETAWAY WITHOUT LEAVING HOME!","The Capri is the perfect fusion of luxurious design and modern functionality built with you in mind. Complete with multiple large bedrooms and flexible living rooms the Capri allows you to live your lifestyle without limits. Choose the outdoor space that fits your needs to enjoy your private courtyard Host guests in an extra room, split from the Owner's suite for additional privacy Cook in style in the gourmet kitchen with an open view to the Great Room Regardless of the extra amenities you choose, the Capri is a true single-level, open architecture home that makes efficient use of space and channels natural light. Thanks to its flexibility and elegance, the Capri is the perfect fit for all personalities and lifestyles. COMING SOON!",,Y,Front,Y,,,2026-04-15T17:56:50.983Z
https://www.epconcommunities.com/find-your-home/communities/wisconsin/appleton--green-bay/winnebago/menasha/woodland-lakes-cottages/quick-move-in-homes/903-black-swan-drive-252,Woodland Lakes Cottages,"903 Black Swan Drive, Menasha, WI 54952",Menasha,WI,54952,Winnebago County,,44.2138,-88.3749,920-520-2197,Mon-Fri: 10am-4pm | Sat-Sun: 10am-4pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Torino II,Torino II,2,2,2,2,0,2,2,0,1,,1,SFD,2194,2194,,,,,2026-08-01,,,,,Courtyard: rear | Attachment: attached | Garage detached: not_applicable | Dining areas: 0 | Bonus suite: N | HERS: 0,,,"Woodland Lakes Cottages in perfectly located for your active adult lifestyle in Wisconsin. We are close to everything you may want to experience in this beautiful state. You will feel like you are on a permanent vacation yet so close to your lock and leave maintenance free home. Still maybe close by extended family and friends in possibly Milwaukee, Chicago and Madison and points beyond. Downtown Menasha-5 minutes Downtown Appleton-7 minutes Downtown Neenah 7 minutes Oshkosh area-15 minutes Green Bay area-20 minutes We are in the center of a inland water wonderland where fishing and every type of boating and water sports imaginable is available Lake Winnebago-1 minute away Fox River system-10 minutes away Wolf River system-15 minutes away Lake Michigan-45 minutes Lake Butte des Morts-15 minutes Lake Poygan-30 minutes You want spectator sports...we got it ! The Green Bay Packers and Lambeau Field…..it doesn't get better Milwaukee Bucks Wisconsin Timber Rattlers Wisconsin Badgers Music and Culture…we are on it ! Appleton Performing Arts Center Oshkosh Grand Theatre Want to get away quickly……….we have multiple airports close by Appleton Intl Airport-10 minutes away (all major airlines) Green Bay Intl Airport-30 minutes away (all major airlines) Milwaukee Mitchell Intl-1.5 hours (all major airlines) Chicago O'Hare=2.5 hours Right on your own Woodland Lakes property ! Clubhouse to mingle and entertain Resort style swimming pool Pickle ball courts Sailing Kayaking Canoeing Lake Beach Hiking Community Garden LET WOODLAND LAKES COTTAGES BE YOUR UP NORTH GETAWAY WITHOUT LEAVING HOME!","The Torino II is an incredible, expansive home with features built to your exact specifications. With plenty of room for your oversized sofas, large dining room table, and room to spare, this elegant and wide open home allows you to easily and comfortably host friends and family. When you desire a home that can be built to satisfy your entertaining lifestyle, but also keep you in mind with the addition of thoughtfully-planned privacy features, look no further than the Torino II. Relax in peace and enjoy the view of the private courtyard Enjoy your delightful owner’s suite with a custom walk-in shower and double sinks with granite counters Welcome your guests in grand fashion thanks to the special front entry porch Like the rest of the home, the gourmet kitchen offers plenty of room, making it the ideal place to have a quick meal or prepare a grand feast for family and friends. An optional bonus suite adds even greater flexibility and comfort for those dear guests that come to visit. For those who believe that the home is where the heart is, rejoice with the Torino II. COMING SOON! Torino with basement.",,Y,Front,Y,,,2026-01-23T16:28:39.327Z
https://www.epconcommunities.com/find-your-home/communities/wisconsin/appleton--green-bay/winnebago/menasha/woodland-lakes-cottages/quick-move-in-homes/895-black-swan-drive-254,Woodland Lakes Cottages,"895 Black Swan Drive, Menasha, WI 54952",Menasha,WI,54952,Winnebago County,,44.2135,-88.3749,920-520-2197,Mon-Fri: 10am-4pm | Sat-Sun: 10am-4pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Portico,Portico,2.5,2.5,3,3,0,3,3,0,1,,1,SFD,2632,2632,,649900,649900,,2024-10-13,,,,,Courtyard: side | Attachment: attached | Garage detached: no | Dining areas: 0 | Bonus suite: Y | HERS: 0,,,"Woodland Lakes Cottages in perfectly located for your active adult lifestyle in Wisconsin. We are close to everything you may want to experience in this beautiful state. You will feel like you are on a permanent vacation yet so close to your lock and leave maintenance free home. Still maybe close by extended family and friends in possibly Milwaukee, Chicago and Madison and points beyond. Downtown Menasha-5 minutes Downtown Appleton-7 minutes Downtown Neenah 7 minutes Oshkosh area-15 minutes Green Bay area-20 minutes We are in the center of a inland water wonderland where fishing and every type of boating and water sports imaginable is available Lake Winnebago-1 minute away Fox River system-10 minutes away Wolf River system-15 minutes away Lake Michigan-45 minutes Lake Butte des Morts-15 minutes Lake Poygan-30 minutes You want spectator sports...we got it ! The Green Bay Packers and Lambeau Field…..it doesn't get better Milwaukee Bucks Wisconsin Timber Rattlers Wisconsin Badgers Music and Culture…we are on it ! Appleton Performing Arts Center Oshkosh Grand Theatre Want to get away quickly……….we have multiple airports close by Appleton Intl Airport-10 minutes away (all major airlines) Green Bay Intl Airport-30 minutes away (all major airlines) Milwaukee Mitchell Intl-1.5 hours (all major airlines) Chicago O'Hare=2.5 hours Right on your own Woodland Lakes property ! Clubhouse to mingle and entertain Resort style swimming pool Pickle ball courts Sailing Kayaking Canoeing Lake Beach Hiking Community Garden LET WOODLAND LAKES COTTAGES BE YOUR UP NORTH GETAWAY WITHOUT LEAVING HOME!","The Portico is a beautiful and striking home designed with functional excellence to promote easy manageability. Dramatic transitions like the formal entryway highlight the elegance and quality of the open, efficient design. Complementing the exquisiteness of the home are such amenities as the gourmet kitchen and private den that allow you to live in comfort with all the conveniences you desire. Enjoy the private owner’s suite nicely designed with spacious bath Take advantage of abundant storage and organizational spaces Gather with friends and family in the home's large, centrally located kitchen Additionally, the Portico offers intelligent features including a conveniently located laundry room, generous storage space, and the added versatility of a bonus suite perfect for a guest room. All things considered, the Portico provides a luxurious yet casual living experience that caters to your lifestyle desires. NOW AVAILABLE!",,Y,Front,Y,,,2025-05-29T14:57:19.624Z
https://www.epconcommunities.com/find-your-home/communities/wisconsin/appleton--green-bay/brown/de-pere/the-bungalows-of-de-pere/quick-move-in-homes/1629-n-honeysuckle-circle-5,The Bungalows of De Pere,"1629 N. Honeysuckle Circle, De Pere, WI 54115",De Pere,WI,54115,Brown County,,44.4204,-88.1130,920-504-2970,Mon-Fri: 10am-4pm | Sat-Sun: 10am-4pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Promenade III,Promenade III,2.5,2.5,2,2,0,2,2,0,1,,1,SFD,2067,2067,,679900,679900,,2024-10-19,,,,,Courtyard: side | Attachment: attached | Garage detached: no | Dining areas: 0 | Bonus suite: N | HERS: 0,,,"The Bungalows of De Pere is an Epcon community located in De Pere, Wisconsin area offering luxury ranch homes with private courtyards. We will build your dream home from one of over six breathtaking floorplans. We offer gorgeous homesites in one of the most sought after cites to live and play in Northeast Wisconsin. We are De Pere's newest low maintenance single-level living community. Feel like you are on vacation every day yet so close to your new dream home.","Welcome to the Promenade III, one of our largest and most spectacular homes. The Promenade III is an elegant, open home with plenty of room for your oversized sofas and dining room furniture. The gourmet kitchen with center island and walk-in pantry make it the ideal place to have a quick meal or prepare a grand feast for family and friends. Relax in the secluded den or the private courtyard Relish in the spacious owner's suite Easily corral your belongings in the mudroom and additional storage space This expertly designed wide open home allows you to easily and comfortably host friends and family and steal away to enjoy a moment of peaceful privacy. For those who believe that the home is where the heart is, rejoice with the Promenade III. COMING SOON!",,Y,Front,Y,,,2024-09-25T18:36:35.480Z
https://www.epconcommunities.com/find-your-home/communities/wisconsin/appleton--green-bay/brown/de-pere/the-bungalows-of-de-pere/quick-move-in-homes/1624-n-honeysuckle-circle-33,The Bungalows of De Pere,"1624 N. Honeysuckle Circle, De Pere, WI 54115",De Pere,WI,54115,Brown County,,44.4209,-88.1131,920-504-2970,Mon-Fri: 10am-4pm | Sat-Sun: 10am-4pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Portico,Portico,2.5,2.5,2,2,0,2,2,0,1,,1,SFD,1879,1879,,,,,2026-06-01,,,,,Courtyard: side | Attachment: attached | Garage detached: not_applicable | Dining areas: 0 | Bonus suite: N | HERS: 0,,,"The Bungalows of De Pere is an Epcon community located in De Pere, Wisconsin area offering luxury ranch homes with private courtyards. We will build your dream home from one of over six breathtaking floorplans. We offer gorgeous homesites in one of the most sought after cites to live and play in Northeast Wisconsin. We are De Pere's newest low maintenance single-level living community. Feel like you are on vacation every day yet so close to your new dream home.","The Portico is a beautiful and striking home designed with functional excellence to promote easy manageability. Dramatic transitions like the formal entryway highlight the elegance and quality of the open, efficient design. Complementing the exquisiteness of the home are such amenities as the gourmet kitchen and private den that allow you to live in comfort with all the conveniences you desire. Enjoy the private owner’s suite nicely designed with spacious bath Take advantage of abundant storage and organizational spaces Gather with friends and family in the home's large, centrally located kitchen Additionally, the Portico offers intelligent features including a conveniently located laundry room, generous storage space, and the added versatility of a bonus suite perfect for a guest room. All things considered, the Portico provides a luxurious yet casual living experience that caters to your lifestyle desires. COMING SOON! Portico Zero Entry with Basement",,Y,Front,Y,,,2026-01-23T16:15:26.617Z
https://www.epconcommunities.com/find-your-home/communities/wisconsin/appleton--green-bay/brown/de-pere/the-bungalows-of-de-pere/quick-move-in-homes/1617-n-honeysuckle-circle-3,The Bungalows of De Pere,"1617 N. Honeysuckle Circle, De Pere, WI 54115",De Pere,WI,54115,Brown County,,44.4203,-88.1132,920-504-2970,Mon-Fri: 10am-4pm | Sat-Sun: 10am-4pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Salerno II,Salerno II,2.5,2.5,2,2,0,2,2,0,0,,0,SFD,1876,1876,,599900,599900,,2025-11-01,,,,,Courtyard: rear | Attachment: attached | Garage detached: not_applicable | Dining areas: 0 | Bonus suite: N | HERS: 0,,,"The Bungalows of De Pere is an Epcon community located in De Pere, Wisconsin area offering luxury ranch homes with private courtyards. We will build your dream home from one of over six breathtaking floorplans. We offer gorgeous homesites in one of the most sought after cites to live and play in Northeast Wisconsin. We are De Pere's newest low maintenance single-level living community. Feel like you are on vacation every day yet so close to your new dream home.","The Salerno is a thoughtfully designed home with functional space and an open floor plan with generous storage space. Features like the 9 foot ceilings highlight the elegance and quality of the open, efficient design. The home offers an open dinette, large eat in kitchen and great room with access to the private outdoor living space. This home is in the Bungalows of De Pere HOA community which offers services and amenities that include: lawn care, snow removal, clubhouse with fitness center, outdoor heated pool and pickle ball court. $1,000 reserve contribution to HOA due upon closing.",,Y,Front,Y,,,2026-04-20T15:58:48.664Z
https://www.epconcommunities.com/find-your-home/communities/texas/houston/harris/tomball/winfrey-estates/quick-move-in-homes/23647-golden-birch-bend-6,Winfrey Estates,"23647 Golden Birch Bend, Tomball, TX 77375",Tomball,TX,77375,Harris County,,30.1053,-95.5989,346-315-3851,Mon-Sat: 10am-5pm | Sun: 12pm-5pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Portico,Portico,2,2,2,2,0,2,2,0,1,,1,SFD,1776,1776,,451528,451528,,2025-10-03,,,,,Courtyard: side | Attachment: attached | Garage detached: not_applicable | Dining areas: 1 | Bonus suite: N | HERS: 0,,,"Winfrey Estates is a charming 55+ active adult community located in Houston, Texas, offering a peaceful yet vibrant lifestyle for those looking to enjoy this chapter of their life to the fullest. Nestled in a scenic suburban setting, Winfrey Estates combines the tranquility of nature with the convenience of urban amenities, making it an ideal place for active adults who want the best of both worlds. This thoughtfully planned community is designed with the needs and preferences of its residents in mind. The homes at Winfrey Estates reflect modern architectural styles and feature low-maintenance designs, providing the perfect balance between comfort and functionality. Spacious single-story homes, energy-efficient features, and open floor plans allow for a seamless living experience, ensuring that residents can enjoy both relaxation and entertainment in their homes. Our homes also come with courtyards, offering the opportunity to enjoy the Texas weather year-round. At Winfrey Estates, staying active and socially engaged is effortless. The community offers a variety of amenities to foster an active, fulfilling lifestyle. Residents can take advantage of walking trails, fitness center, and beautifully landscaped outdoor spaces perfect for leisurely strolls or morning jogs. For those who enjoy a more structured social environment, there are clubhouse activities, hobby groups, and organized events that allow residents to form lasting connections with their neighbors. Whether it’s a game of pickleball, a fitness class, or an evening social, there’s always something happening to keep the community lively and engaged. The location of Winfrey Estates in Tomball provides easy access to a variety of shopping, dining, and entertainment options. Just a short drive away, residents can explore Tomball’s charming downtown area, known for its boutique shops, local eateries, and year-round festivals.","The Portico is a beautiful and striking home designed with functional excellence to promote easy manageability. Dramatic transitions like the formal entryway highlight the elegance and quality of the open, efficient design. Complementing the exquisiteness of the home are such amenities as the gourmet kitchen and private den that allow you to live in comfort with all the conveniences you desire. Additionally, the Portico offers intelligent features including a conveniently located laundry room, generous storage space, and the added versatility of a bonus suite perfect for a guest room. All things considered, the Portico provides a luxurious yet casual living experience that caters to your lifestyle desires. An elegant, light-filled design.","Winfrey Estates offers a wide range of amenities designed to support an active and fulfilling lifestyle for its 55+ active adult residents. The community features beautifully landscaped walking trails, perfect for leisurely strolls or morning exercise. A well-equipped fitness center encourages healthy living, while the community clubhouse serves as a hub for social activities, gatherings, and events. Residents can enjoy outdoor recreation with amenities like pickleball courts and outdoor seating areas, creating opportunities for friendly competition and relaxation. Hobby groups, classes, and planned activities ensure there's always something to do, fostering a vibrant social atmosphere. The tranquil setting, combined with low-maintenance homes and a peaceful environment, allows residents to focus on enjoying their retirement. Additionally, Winfrey Estates is conveniently located near shopping, dining, healthcare, and parks, ensuring all necessities are within easy reach.",Y,Front,Y,,,2025-10-03T16:16:05.323Z
https://www.epconcommunities.com/find-your-home/communities/texas/houston/harris/tomball/winfrey-estates/quick-move-in-homes/1306-hidden-oaks-dr-29,Winfrey Estates,"1306 Hidden Oaks Dr, Tomball, TX 77375",Tomball,TX,77375,Harris County,,30.1052,-95.5972,346-315-3851,Mon-Sat: 10am-5pm | Sun: 12pm-5pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Portico,Portico,2,2,4,3,0,4,3,0,2,,2,SFD,2468,2468,,450000,450000,,2025-02-20,,,,,Courtyard: side | Attachment: attached | Garage detached: no | Dining areas: 1 | Bonus suite: Y | HERS: 0,,,"Winfrey Estates is a charming 55+ active adult community located in Houston, Texas, offering a peaceful yet vibrant lifestyle for those looking to enjoy this chapter of their life to the fullest. Nestled in a scenic suburban setting, Winfrey Estates combines the tranquility of nature with the convenience of urban amenities, making it an ideal place for active adults who want the best of both worlds. This thoughtfully planned community is designed with the needs and preferences of its residents in mind. The homes at Winfrey Estates reflect modern architectural styles and feature low-maintenance designs, providing the perfect balance between comfort and functionality. Spacious single-story homes, energy-efficient features, and open floor plans allow for a seamless living experience, ensuring that residents can enjoy both relaxation and entertainment in their homes. Our homes also come with courtyards, offering the opportunity to enjoy the Texas weather year-round. At Winfrey Estates, staying active and socially engaged is effortless. The community offers a variety of amenities to foster an active, fulfilling lifestyle. Residents can take advantage of walking trails, fitness center, and beautifully landscaped outdoor spaces perfect for leisurely strolls or morning jogs. For those who enjoy a more structured social environment, there are clubhouse activities, hobby groups, and organized events that allow residents to form lasting connections with their neighbors. Whether it’s a game of pickleball, a fitness class, or an evening social, there’s always something happening to keep the community lively and engaged. The location of Winfrey Estates in Tomball provides easy access to a variety of shopping, dining, and entertainment options. Just a short drive away, residents can explore Tomball’s charming downtown area, known for its boutique shops, local eateries, and year-round festivals.","The Portico is a beautiful and striking home designed with functional excellence to promote easy manageability. Dramatic transitions like the formal entryway highlight the elegance and quality of the open, efficient design. Complementing the exquisiteness of the home are such amenities as the kitchen and flex room that allow you to live in comfort with all the conveniences you desire. Additionally, the Portico offers intelligent features including a conveniently located laundry room, generous storage space, and the added versatility of a bonus suite perfect for a guest room. All things considered, the Portico provides a luxurious yet casual living experience that caters to your lifestyle desires. An elegant, light-filled design.","Winfrey Estates offers a wide range of amenities designed to support an active and fulfilling lifestyle for its 55+ active adult residents. The community features beautifully landscaped walking trails, perfect for leisurely strolls or morning exercise. A well-equipped fitness center encourages healthy living, while the community clubhouse serves as a hub for social activities, gatherings, and events. Residents can enjoy outdoor recreation with amenities like pickleball courts and outdoor seating areas, creating opportunities for friendly competition and relaxation. Hobby groups, classes, and planned activities ensure there's always something to do, fostering a vibrant social atmosphere. The tranquil setting, combined with low-maintenance homes and a peaceful environment, allows residents to focus on enjoying their retirement. Additionally, Winfrey Estates is conveniently located near shopping, dining, healthcare, and parks, ensuring all necessities are within easy reach.",Y,Front,Y,,,2026-02-14T17:55:37.833Z
https://www.epconcommunities.com/find-your-home/communities/texas/houston/harris/tomball/winfrey-estates/quick-move-in-homes/1206-hidden-oaks-dr-22,Winfrey Estates,"1206 Hidden Oaks Dr, Tomball, TX 77375",Tomball,TX,77375,Harris County,,30.1052,-95.5984,346-315-3851,Mon-Sat: 10am-5pm | Sun: 12pm-5pm,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Palazzo,Palazzo,2,2,2,2,0,2,2,0,1,,1,SFD,1519,1519,,375000,375000,,2025-03-22,,,,,Courtyard: side | Attachment: attached | Garage detached: not_applicable | Dining areas: 1 | Bonus suite: N | HERS: 0,,,"Winfrey Estates is a charming 55+ active adult community located in Houston, Texas, offering a peaceful yet vibrant lifestyle for those looking to enjoy this chapter of their life to the fullest. Nestled in a scenic suburban setting, Winfrey Estates combines the tranquility of nature with the convenience of urban amenities, making it an ideal place for active adults who want the best of both worlds. This thoughtfully planned community is designed with the needs and preferences of its residents in mind. The homes at Winfrey Estates reflect modern architectural styles and feature low-maintenance designs, providing the perfect balance between comfort and functionality. Spacious single-story homes, energy-efficient features, and open floor plans allow for a seamless living experience, ensuring that residents can enjoy both relaxation and entertainment in their homes. Our homes also come with courtyards, offering the opportunity to enjoy the Texas weather year-round. At Winfrey Estates, staying active and socially engaged is effortless. The community offers a variety of amenities to foster an active, fulfilling lifestyle. Residents can take advantage of walking trails, fitness center, and beautifully landscaped outdoor spaces perfect for leisurely strolls or morning jogs. For those who enjoy a more structured social environment, there are clubhouse activities, hobby groups, and organized events that allow residents to form lasting connections with their neighbors. Whether it’s a game of pickleball, a fitness class, or an evening social, there’s always something happening to keep the community lively and engaged. The location of Winfrey Estates in Tomball provides easy access to a variety of shopping, dining, and entertainment options. Just a short drive away, residents can explore Tomball’s charming downtown area, known for its boutique shops, local eateries, and year-round festivals.","The single-level Palazzo floorplan at Winfrey Estates is crafted for those seeking expansive, luxurious living all on one floor. It's open layout features large, airy rooms that flow effortlessly into outdoor spaces, ideal for entertaining of unwinding. Elegant finishes and custom architectural touches throughout the home highlight its sophistication and grandeur. Offering modern amenities and meticulous design, the Palazzo combines comfort and refined style, delivering an exceptional upscale living experience. Energized by abundant living space.","Winfrey Estates offers a wide range of amenities designed to support an active and fulfilling lifestyle for its 55+ active adult residents. The community features beautifully landscaped walking trails, perfect for leisurely strolls or morning exercise. A well-equipped fitness center encourages healthy living, while the community clubhouse serves as a hub for social activities, gatherings, and events. Residents can enjoy outdoor recreation with amenities like pickleball courts and outdoor seating areas, creating opportunities for friendly competition and relaxation. Hobby groups, classes, and planned activities ensure there's always something to do, fostering a vibrant social atmosphere. The tranquil setting, combined with low-maintenance homes and a peaceful environment, allows residents to focus on enjoying their retirement. Additionally, Winfrey Estates is conveniently located near shopping, dining, healthcare, and parks, ensuring all necessities are within easy reach.",Y,Front,Y,,,2026-02-14T17:57:01.971Z
https://www.epconcommunities.com/find-your-home/communities/texas/college-station/brazos/college-station/lakeside-at-millican-reserve/quick-move-in-homes/4064-lakeside-club-drive-model,Lakeside at Millican Reserve,"4064 Lakeside Club Drive, College Station, TX 77845",College Station,TX,77845,Brazos County,,30.4909,-96.2541,210-587-2235,Mon-Fri: 8am-5pm | Sat-Sun: Call for Appointment,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Portico,Portico,2,2,3,3,0,3,3,0,2,,2,SFD,2612,2612,,749900,749900,,2026-06-30,,,,,Courtyard: side | Attachment: attached | Garage detached: not_applicable | Dining areas: 0 | Bonus suite: Y | HERS: 0,,,"Lakeside at Millican Reserve is College Station's premier 55+ community, thoughtfully designed for active adults who value comfort, connection, and convenience. Nestled within the scenic Millican Reserve, this neighborhood offers a lock-and-leave lifestyle, with low-maintenance homes and access to a wide range of amenities that make everyday living feel like a retreat.","4064 Lakeside Club Drive is a thoughtfully designed new construction home located within College Station’s first premier 55+ active adult community! In the Millican Reserve Conservancy, residents enjoy access to over 1,000 acres of preserved land, 40+ miles of trails, Lake Prescott, a community garden, and planned private amenities including a clubhouse, pool, pickleball court, and fitness center. With an expected completion in July 2026, there is time remaining to personalize select interior finishes! Featuring the Portico floor plan, this 2,612 square foot home includes 3 bedrooms, 3 full bathrooms, and a dedicated office on the main level, along with a spacious primary suite highlighted by beams in the ceiling and a private sitting room. The kitchen is beautifully upgraded with two rows of upper cabinets with glass-front uppers, an upgraded GE Cafe gas cooktop, and enhanced lighting, while wood-look tile flooring and upgraded millwork add a refined touch throughout the main living areas. The second floor offers a private bonus suite with an additional living or game room, a bedroom, a full bathroom, and storage, ideal for guests. Additional features include a gas fireplace, epoxy-coated garage floor, and a 250-gallon underground propane tank servicing the cooktop, fireplace, water heater, and a gas stub on the porch. Universal design elements and lawn maintenance included support easy, lock-and-leave living. The Portico is a stunning home designed for today's casual lifestyle.","Lakeside at Millican Reserve is a 55+ community designed for those who want to embrace a low-maintenance, active lifestyle without sacrificing comfort or connection. Our completely lock-and-leave homes allow residents to enjoy more free time, as all lawn maintenance is taken care of. At the heart of the community will be a private clubhouse featuring a fitness center, pickleball court, and pool- perfect for staying active and socializing with neighbors. Residents of Lakeside also enjoy access to the greater Millican Reserve amenities, including over 40 miles of scenic walking trails, the community garden, and beautiful Lake Prescott. At Lakeside, we believe in connecting with nature, spending more time with the people you love, and providing everything you need to live an active, yet relaxed lifestyle.",Y,Front,Y,,,2026-03-10T14:18:01.931Z
https://www.epconcommunities.com/find-your-home/communities/texas/college-station/brazos/college-station/lakeside-at-millican-reserve/quick-move-in-homes/4060-lakeside-club-drive-1,Lakeside at Millican Reserve,"4060 Lakeside Club Drive, College Station, TX 77845",College Station,TX,77845,Brazos County,,30.4912,-96.2537,210-587-2235,Mon-Fri: 8am-5pm | Sat-Sun: Call for Appointment,https://www.epconcommunities.com,available,Epcon Communities,,,,,,,,,,,,,,,Y,Y,Promenade,Promenade,2,2,2,2,0,2,2,0,1,,1,SFD,2150,2150,,639900,639900,,2026-08-01,,,,,Courtyard: side | Attachment: attached | Garage detached: not_applicable | Dining areas: 0 | Bonus suite: N | HERS: 0,,,"Lakeside at Millican Reserve is College Station's premier 55+ community, thoughtfully designed for active adults who value comfort, connection, and convenience. Nestled within the scenic Millican Reserve, this neighborhood offers a lock-and-leave lifestyle, with low-maintenance homes and access to a wide range of amenities that make everyday living feel like a retreat.","4060 Lakeside Club Drive is a thoughtfully designed new construction home in College Station's first premier 55+ active adult community! Located within the Millican Reserve Conservancy, residents enjoy access to over 1,000 acres of preserved land, 40+ miles of hiking, biking, and walking trails, water activities on Lake Prescott, a community garden, and planned private amenities including a clubhouse, pool, pickleball court, and fitness center designed exclusively for Lakeside residents. Offering 2,150 square feet of well-planned living space, with expected completion in July 2026 and still time to customize your selections. Featuring the popular Promenade floor plan, this home includes 2 bedrooms, 2 bathrooms, and a flexible office/den that can also serve as a third bedroom. The spacious Owner’s suite is highlighted by beams in the tray ceiling, two large walk-in closets, and a spa-like bathroom with zero-threshold shower entry, while the home is upgraded to the Craftsman design package, providing elevated finishes throughout. Universal design features include zero-threshold entry at the garage and shower for ease of living, while a private side courtyard and lawn maintenance included enhance the home’s lock-and-leave lifestyle. The Promenade is an elegant, open home with plenty of room for you.","Lakeside at Millican Reserve is a 55+ community designed for those who want to embrace a low-maintenance, active lifestyle without sacrificing comfort or connection. Our completely lock-and-leave homes allow residents to enjoy more free time, as all lawn maintenance is taken care of. At the heart of the community will be a private clubhouse featuring a fitness center, pickleball court, and pool- perfect for staying active and socializing with neighbors. Residents of Lakeside also enjoy access to the greater Millican Reserve amenities, including over 40 miles of scenic walking trails, the community garden, and beautiful Lake Prescott. At Lakeside, we believe in connecting with nature, spending more time with the people you love, and providing everything you need to live an active, yet relaxed lifestyle.",Y,Front,Y,,,2026-03-27T19:13:05.415Z
